City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Mount Gambier,-37.8333,140.7667,74.26,33,23,4.97,AU,2021-12-14 02:04:13
249,Constitucion,-35.3333,-72.4167,53.15,87,89,10.98,CL,2021-12-14 02:06:40
250,Provideniya,64.3833,-173.3,-4.65,71,75,22.37,RU,2021-12-14 02:06:40
251,Wanaka,-44.7,169.15,73.11,48,91,3.0,NZ,2021-12-14 02:06:41
252,Bhigvan,18.3167,74.7667,70.23,62,75,7.02,IN,2021-12-14 02:06:41
253,Rahatgarh,23.7833,78.3667,58.26,67,0,4.76,IN,2021-12-14 02:06:41
254,Kavaratti,10.5669,72.642,82.27,72,86,8.61,IN,2021-12-14 02:06:42
255,Bubaque,11.2833,-15.8333,81.27,65,54,14.67,GW,2021-12-14 02:06:42
256,Bukama,-9.2,25.85,68.16,98,56,1.68,CD,2021-12-14 02:06:42
257,Kalmunai,7.4167,81.8167,78.89,82,96,4.23,LK,2021-12-14 02:04:09
258,Pandharpur,17.6667,75.3333,70.27,65,91,7.09,IN,2021-12-14 02:06:43
259,Ribeira Grande,38.5167,-28.7,59.09,59,58,1.88,PT,2021-12-14 02:02:55
260,Labuhan,-6.8844,112.2051,85.41,67,19,9.82,ID,2021-12-14 02:06:43
261,Baghdad,33.3406,44.4009,48.11,66,75,4.61,IQ,2021-12-14 02:06:44
262,Sorong,-0.8833,131.25,82.38,82,100,8.66,ID,2021-12-14 02:03:11
263,Ilulissat,69.2167,-51.1,24.82,46,72,1.14,GL,2021-12-14 02:01:46
264,Puro,12.4841,123.3827,79.5,77,84,14.97,PH,2021-12-14 02:06:44
265,Banfora,10.6333,-4.7667,77.72,21,75,3.65,BF,2021-12-14 02:06:44
266,San Andres,12.5847,-81.7006,82.42,78,75,13.8,CO,2021-12-14 02:06:45
267,Nicoya,10.1483,-85.452,76.55,73,98,10.78,CR,2021-12-14 02:06:45
268,Yulara,-25.2406,130.9889,97.79,13,40,15.64,AU,2021-12-14 02:01:16
269,Kieta,-6.2167,155.6333,85.03,75,47,5.08,PG,2021-12-14 02:06:45
270,Xining,36.6167,101.7667,23.58,29,6,1.74,CN,2021-12-14 02:06:46
271,Sheridan,44.8333,-106.9173,42.98,76,1,4.61,US,2021-12-14 02:06:46
272,Mareeba,-17.0,145.4333,88.45,53,52,4.88,AU,2021-12-14 02:06:47
273,Brits,-25.6347,27.7802,62.35,95,8,4.25,ZA,2021-12-14 02:06:47
274,Ust-Shonosha,61.1531,41.343,23.18,94,100,8.72,RU,2021-12-14 02:06:47
275,Tigil,57.8,158.6667,21.74,86,100,9.35,RU,2021-12-14 02:06:47
276,Kloulklubed,7.0419,134.2556,77.5,91,100,17.78,PW,2021-12-14 02:01:46
277,Pisco,-13.7,-76.2167,66.25,82,0,16.11,PE,2021-12-14 02:05:08
278,Norman Wells,65.282,-126.8329,-26.16,100,75,1.61,CA,2021-12-14 02:03:00
279,Neiafu,-18.65,-173.9833,81.28,78,40,4.61,TO,2021-12-14 02:07:48
280,Gouyave,12.1646,-61.7296,77.77,89,75,2.3,GD,2021-12-14 02:07:48
281,Lata,40.1629,-8.3327,51.06,79,3,5.06,PT,2021-12-14 02:07:49
282,Batagay-Alyta,67.8006,130.4114,-37.08,94,33,4.79,RU,2021-12-14 02:07:49
283,Kachug,53.9606,105.8817,-7.19,98,91,1.45,RU,2021-12-14 02:07:49
