City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
343,Marawi,PH,70.65,broken clouds,7.9986,124.2928,Derogongan Residence
344,Faya,SA,52.32,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
345,Aviles,ES,52.93,broken clouds,43.5547,-5.9248,"Palacio de Avilés, Affiliated by Meliá"
347,Manali,IN,73.08,scattered clouds,13.1667,80.2667,Sarathy Lodge
350,El Alto,PE,68.86,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
351,Kingsport,US,53.11,scattered clouds,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
352,Vila Franca Do Campo,PT,63.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
354,Kaitangata,NZ,61.93,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
356,Camacha,PT,63.82,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
358,Mahon,ES,57.76,few clouds,39.8885,4.2658,ARTIEM Capri
364,Port Hueneme,US,61.95,broken clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
365,Talcahuano,CL,62.35,clear sky,-36.7167,-73.1167,departamento comodo
369,Marsh Harbour,BS,72.7,clear sky,26.5412,-77.0636,Abaco Beach Resort
371,Lagoa,PT,62.38,overcast clouds,39.05,-27.9833,Casa Das Faias
378,Airai,TL,60.22,overcast clouds,-8.9266,125.4092,Juvinal Martin
380,Guerrero Negro,MX,66.29,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
382,Arica,CL,70.59,broken clouds,-18.475,-70.3042,Hostal Jardin Del Sol
383,Kiboga,UG,65.62,light rain,0.9161,31.7742,Marie Lustenberger Guest House
385,Teguise,ES,59.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
386,Kaeo,NZ,76.64,clear sky,-35.1,173.7833,Bushido Lodge
389,Beruwala,LK,72.66,clear sky,6.4788,79.9828,The Palms Hotel
391,Gwadar,PK,73.26,clear sky,25.1216,62.3254,Sadaf Resort
396,Santo Antonio Do Ica,BR,76.01,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
400,Jalu,LY,53.76,clear sky,29.0331,21.5482,صاحبة الفخامة
401,Trelew,AR,68.77,clear sky,-43.249,-65.3051,Hotel Touring Club
402,Coihaique,CL,64.35,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
403,Saurimo,AO,63.0,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
406,Paraiso,CR,67.06,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
408,Rawson,AR,65.44,clear sky,-43.3002,-65.1023,Hosteria Sampedro
412,Stillwater,US,76.84,clear sky,36.1156,-97.0584,Hampton Inn & Suites Stillwater
416,Tuatapere,NZ,65.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
420,Binga,ZW,73.11,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
423,Gushikawa,JP,65.43,overcast clouds,26.3544,127.8686,Kirari Guest House
426,Lata,PT,54.91,overcast clouds,40.1629,-8.3327,Casa Maquia
428,Uitenhage,ZA,58.41,overcast clouds,-33.7576,25.3971,19 on Barkly - Self-Catering Chalets & Rooms
431,Kindu,CD,69.93,moderate rain,-2.95,25.95,Résidence Okanda
437,San Patricio,US,75.88,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
439,Sur,OM,72.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
440,Bintulu,MY,77.16,overcast clouds,3.1667,113.0333,900 Boutique INN
442,Hedaru,TZ,70.65,overcast clouds,-4.5,37.9,Hedaru Palace Hotel
443,Coquimbo,CL,63.01,few clouds,-29.9533,-71.3436,Punto de encuentro
446,Surt,LY,57.94,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
451,Douglas,US,52.9,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
452,Chiradzulu,MW,68.31,light rain,-15.6746,35.1407,SOMS LODGE
